Position,Const,Created,Modified,Description,Name,Known For,Birth Date
278,nm0233757,2014-04-04,2016-02-03,1530 points,Jaco Van Dormael,Mr. Nobody,1957-02-09
279,nm0276349,2014-11-26,2014-11-26,1526 points,Shane Meadows,This Is England,1972-12-26
280,nm0919369,2012-08-26,2012-08-26,1525 points,Paul Weitz,About a Boy,1965-11-19
281,nm0001437,2012-08-05,2012-08-18,1523 points,Emir Kusturica,Underground,1954-11-24
282,nm0899121,2013-10-11,2017-09-10,1523 points,Thomas Vinterberg,Druk,1969-05-19
283,nm1630273,2012-08-26,2012-08-26,1521 points,Phyllida Lloyd,Mamma Mia!,1957-06-17
284,nm0619923,2012-09-30,2013-10-25,1520 points,Olivier Nakache,Intouchables,1973-04-15
285,nm0865918,2012-09-30,2013-10-25,1520 points,Éric Toledano,Intouchables,1971-07-03
286,nm0318150,2012-11-05,2016-09-25,1518 points,Lewis Gilbert,Alfie,1920-03-06
287,nm0204628,2017-04-30,2017-04-30,1505 points,Garth Davis,Lion,1974-09-23
288,nm0000694,2012-08-04,2016-07-18,1496 points,Wim Wenders,Der Himmel über Berlin,1945-08-14
289,nm0322515,2012-08-04,2012-08-04,1492 points,John Glen,Licence to Kill,1932-05-15
290,nm0772259,2012-08-06,2015-10-31,1481 points,John Schlesinger,Midnight Cowboy,1926-02-16
291,nm2158772,2014-06-07,2014-06-07,1471 points,Jeff Nichols,Take Shelter,1978-12-07
292,nm0371890,2012-08-26,2016-07-29,1469 points,Michel Hazanavicius,The Artist,1967-03-29
293,nm0336620,2012-08-19,2012-08-19,1462 points,F. Gary Gray,Set It Off,1969-07-17
294,nm0291205,2012-08-12,2012-12-24,1461 points,David Frankel,The Devil Wears Prada,1959-04-02
295,nm0781842,2014-02-16,2014-02-16,1457 points,Peter Segal,Get Smart,
296,nm0000230,2012-08-04,2012-08-04,1440 points,Sylvester Stallone,Rocky,1946-07-06
297,nm0649117,2012-08-19,2013-03-23,1430 points,Niels Arden Oplev,Män som hatar kvinnor,1961-03-26
298,nm0006452,2012-07-28,2017-03-05,1416 points,Stanley Kramer,Judgment at Nuremberg,1913-09-29
299,nm0001219,2012-08-12,2013-03-08,1412 points,Gary Fleder,Things to Do in Denver When You're Dead,1965-12-19
300,nm0001331,2016-01-17,2016-01-17,1403 points,Todd Haynes,Far from Heaven,1961-01-02
301,nm0477035,2014-03-22,2014-03-22,1400 points,Corey Yuen,Zhi fa xian feng,1951-02-15
302,nm0281945,2012-08-19,2013-11-16,1399 points,Anne Fletcher,The Proposal,1966-05-01
303,nm0695937,2016-04-09,2016-08-24,1369 points,Otto Preminger,Anatomy of a Murder,1905-12-05
304,nm0200005,2014-03-22,2014-03-22,1368 points,Lee Daniels,Precious,1959-12-24
305,nm0336695,2015-02-02,2015-02-02,1367 points,James Gray,Ad Astra,1969-04-14
306,nm0490487,2015-10-23,2015-10-23,1364 points,Andrew Lau,Mou gaan dou,1960-04-04
307,nm0538320,2015-10-23,2015-10-23,1364 points,Alan Mak,Mou gaan dou,1965-01-01
308,nm0751080,2012-08-05,2012-08-05,1360 points,Chuck Russell,The Scorpion King,1958-05-09
309,nm0179221,2015-05-03,2015-05-03,1354 points,Anton Corbijn,Control,1955-05-20
310,nm1049433,2016-03-03,2016-03-03,1353 points,Lenny Abrahamson,Room,1966-11-30
311,nm0254786,2013-09-06,2013-09-06,1347 points,David R. Ellis,The Matrix Reloaded,1952-09-08
312,nm0004306,2012-08-04,2012-08-10,1342 points,George Miller,Mad Max: Fury Road,1945-03-03
313,nm0276062,2012-08-12,2012-08-12,1333 points,Todd Field,Tár,1964-02-24
314,nm0671957,2012-07-28,2012-08-03,1332 points,Arthur Penn,Bonnie and Clyde,1922-09-27
315,nm0001120,2016-03-06,2017-02-05,1322 points,Vittorio De Sica,Ladri di biciclette,1901-07-07
316,nm0758574,2012-08-12,2013-04-30,1322 points,Walter Salles,Central do Brasil,1956-04-12
317,nm0003638,2012-07-26,2017-05-06,1309 points,F.W. Murnau,Sunrise: A Song of Two Humans,1888-12-28
318,nm0516360,2013-03-01,2017-04-30,1306 points,Ken Loach,"I, Daniel Blake",1936-06-17
319,nm0451148,2016-01-02,2016-01-02,1301 points,Aamir Khan,Taare Zameen Par,1965-03-14
320,nm0718627,2012-07-28,2012-07-29,1295 points,Wolfgang Reitherman,The AristoCats,1909-06-26
321,nm0742341,2012-07-28,2017-01-19,1277 points,Stuart Rosenberg,Cool Hand Luke,1927-08-11
322,nm0815204,2016-04-25,2017-01-01,1256 points,Paolo Sorrentino,È stata la mano di Dio,1970-05-31
323,nm1104118,2012-08-12,2017-11-18,1254 points,Kim Ki-duk,Bin-jip,1960-12-20
324,nm0318916,2013-07-29,2013-07-29,1248 points,Craig Gillespie,"I, Tonya",1967-09-01
325,nm0959062,2014-04-04,2014-04-04,1244 points,Terry Zwigoff,Ghost World,1949-05-18
326,nm0536632,2012-08-11,2012-08-11,1241 points,Sharon Maguire,Bridget Jones's Baby,1960-11-28
327,nm0264236,2014-10-02,2014-10-02,1238 points,Richard Eyre,Notes on a Scandal,1943-03-28
328,nm0001681,2017-08-03,2017-08-03,1216 points,George A. Romero,Land of the Dead,1940-02-04
329,nm0000419,2012-11-09,2016-05-21,1215 points,Jean-Luc Godard,Vivre sa vie: Film en douze tableaux,1930-12-03
330,nm0001587,2012-08-03,2012-08-05,1212 points,Alan J. Pakula,Sophie's Choice,1928-04-07
331,nm0654830,2012-12-01,2017-04-17,1194 points,François Ozon,Dans la maison,1967-11-15
332,nm0082450,2012-08-26,2012-08-26,1190 points,Paul Feig,Freaks and Geeks,1962-09-17
333,nm0000876,2015-12-15,2015-12-15,1185 points,Noah Baumbach,The Squid and the Whale,1969-09-03
334,nm0919363,2012-08-11,2012-09-01,1175 points,Chris Weitz,About a Boy,1969-11-30
335,nm0459170,2012-08-04,2012-08-04,1173 points,Randal Kleiser,Grease,1946-07-20
336,nm0220600,2015-05-07,2015-05-07,1173 points,Scott Derrickson,Doctor Strange,1966-07-16
337,nm0178376,2014-05-30,2014-05-30,1164 points,Scott Cooper,Crazy Heart,1970-04-20
338,nm0600546,2012-08-11,2012-08-19,1134 points,Lukas Moodysson,Fucking Åmål,1969-01-17
339,nm0000036,2013-04-14,2015-09-11,1129 points,Buster Keaton,The General,1895-10-04
340,nm0828419,2012-07-27,2017-02-06,1124 points,George Stevens,Giant,1904-12-18
341,nm0000915,2015-10-03,2017-01-15,1121 points,Bruce Beresford,Driving Miss Daisy,1940-08-16
342,nm0000914,2012-08-18,2012-08-18,1121 points,Robert Benton,Kramer vs. Kramer,1932-09-29
343,nm0269463,2015-01-20,2015-01-20,1121 points,Jon Favreau,Chef,1966-10-19
344,nm0412465,2012-08-05,2013-01-04,1116 points,James Ivory,Call Me by Your Name,1928-06-07
345,nm0146341,2015-09-19,2015-09-19,1110 points,Peter Cattaneo,The Full Monty,1964-07-01
346,nm0525659,2012-08-18,2012-08-18,1104 points,Robert Luketic,The Ugly Truth,1973-11-01
347,nm0001789,2013-04-29,2013-07-06,1099 points,Andrei Tarkovsky,Solyaris,1932-04-04
348,nm0000958,2012-07-29,2016-11-19,1099 points,John Boorman,Hope and Glory,1933-01-18
349,nm0081540,2012-08-26,2016-01-01,1094 points,Susanne Bier,Hævnen,1960-04-15
350,nm0003836,2013-03-16,2017-09-17,1089 points,Michael Powell,The Red Shoes,1905-09-30
351,nm0000750,2015-08-24,2015-08-24,1079 points,Jon Amiel,Copycat,1948-05-20
352,nm0015359,2012-08-18,2017-04-22,1076 points,Fatih Akin,Aus dem Nichts,1973-08-25
353,nm0181902,2015-03-10,2015-03-10,1073 points,George P. Cosmatos,Rambo: First Blood Part II,1941-01-04
354,nm0281507,2017-03-22,2017-11-29,1062 points,Richard Fleischer,Soylent Green,1916-12-08
355,nm0231596,2012-08-18,2012-08-18,1055 points,Andrew Dominik,Chopper,1967-10-07
356,nm0065615,2012-08-11,2012-08-11,1053 points,Wolfgang Becker,Good Bye Lenin!,1954-06-22
357,nm0935863,2016-05-30,2016-06-23,1047 points,Michael Winterbottom,A Mighty Heart,1961-03-29
358,nm0687042,2012-08-18,2012-08-18,1047 points,Paco Plaza,[Rec],
359,nm0049371,2012-08-18,2012-08-18,1047 points,Jaume Balagueró,[Rec],1968-11-02
360,nm0001843,2013-03-10,2013-03-10,1044 points,James Whale,The Invisible Man,1889-07-22
361,nm0001675,2012-08-06,2012-08-06,1034 points,Robert Rodriguez,El mariachi,1968-06-20
362,nm0481418,2012-08-18,2014-11-10,1032 points,Richard LaGravenese,Freedom Writers,1959-10-30
363,nm0005509,2012-08-05,2012-08-06,1032 points,Jon Turteltaub,Cool Runnings,1963-08-08
364,nm0387706,2012-08-18,2012-08-18,1024 points,Gregory Hoblit,Hill Street Blues,1944-11-27
365,nm0777881,2012-08-26,2012-08-26,1024 points,Robert Schwentke,Der Hauptmann,
366,nm0001281,2017-09-29,2017-09-29,1023 points,Bobcat Goldthwait,Scrooged,1962-05-26
367,nm0829038,2012-07-28,2015-08-27,1021 points,Robert Stevenson,Mary Poppins,1905-03-31
368,nm0379179,2012-08-18,2012-08-18,1016 points,Mark Herman,The Boy in the Striped Pajamas,
369,nm0564970,2012-07-26,2017-08-15,1012 points,Leo McCarey,An Affair to Remember,1896-10-03
370,nm0193485,2013-05-11,2013-05-11,1009 points,Richard Curtis,Love Actually,1956-11-08
371,nm0300866,2012-08-12,2012-08-12,1008 points,Stephen Gaghan,Syriana,1965-05-06
372,nm0368871,2012-07-27,2017-11-24,995 points,Henry Hathaway,True Grit,1898-03-13
373,nm0149196,2016-10-03,2016-10-03,987 points,Nuri Bilge Ceylan,Bir Zamanlar Anadolu'da,1959-01-26
374,nm2905562,2016-08-31,2016-08-31,985 points,Daniel Barber,Harry Brown,
375,nm0003088,2012-08-06,2012-08-12,984 points,Chris Noonan,Babe,1952-11-14
376,nm0001005,2012-08-12,2012-08-19,983 points,Jane Campion,Bright Star,1954-04-30
377,nm0005303,2014-01-04,2014-01-04,971 points,Kimberly Peirce,Boys Don't Cry,1967-09-08
378,nm0591486,2012-11-19,2015-12-06,965 points,Vincente Minnelli,An American in Paris,1903-02-28
379,nm0001178,2017-07-05,2017-08-14,964 points,Sergei Eisenstein,Aleksandr Nevskiy,1898-01-22
380,nm0712947,2013-10-20,2013-10-20,958 points,Nicholas Ray,Rebel Without a Cause,1911-08-07
381,nm0788234,2012-08-18,2012-08-18,956 points,John Patrick Shanley,Moonstruck,1950-10-03
382,nm0587277,2012-07-26,2017-08-30,951 points,Lewis Milestone,All Quiet on the Western Front,1895-09-30
383,nm0158966,2012-08-26,2012-08-26,949 points,Lisa Cholodenko,The Kids Are All Right,1964-06-05
384,nm0000824,2012-08-04,2012-08-04,944 points,John Badham,WarGames,1939-08-25
385,nm0773603,2012-08-18,2012-08-18,942 points,Julian Schnabel,At Eternity's Gate,1951-10-26
386,nm0187769,2012-08-05,2014-07-20,938 points,Charles Crichton,A Fish Called Wanda,1910-08-06
387,nm0001403,2012-08-18,2012-08-18,937 points,Neil Jordan,The Crying Game,1950-02-25
388,nm0036349,2017-09-05,2017-09-05,930 points,Andrea Arnold,American Honey,1961-04-05
389,nm2612991,2017-07-29,2017-07-29,929 points,Banksy,Exit Through the Gift Shop,
390,nm1503403,2017-02-28,2017-02-28,928 points,Shane Carruth,Upstream Color,
391,nm0523932,2012-07-26,2017-05-02,924 points,Ernst Lubitsch,To Be or Not to Be,1892-01-29
392,nm0909825,2016-05-01,2017-09-05,923 points,Raoul Walsh,The Roaring Twenties,1887-03-11
393,nm0192845,2012-08-26,2012-08-26,923 points,John Curran,Chappaquiddick,1960-09-11
394,nm0000801,2015-10-04,2016-06-19,917 points,Olivier Assayas,Personal Shopper,1955-01-25
395,nm1041597,2013-11-15,2013-11-15,907 points,Morgan Spurlock,Super Size Me,1970-11-07
396,nm0654868,2017-12-02,2017-12-02,895 points,Yasujirô Ozu,Tôkyô monogatari,1903-12-12
397,nm0111845,2012-08-18,2012-08-18,892 points,Adam Brooks,"Definitely, Maybe",1956-09-03
398,nm0230859,2017-07-11,2017-07-11,888 points,Xavier Dolan,J'ai tué ma mère,1989-03-20
399,nm0444244,2014-11-06,2014-11-06,885 points,Abdellatif Kechiche,La vie d'Adèle,1960-12-07
400,nm0112218,2016-10-01,2016-10-01,870 points,Richard Brooks,In Cold Blood,1912-05-18
401,nm0920274,2016-08-29,2016-08-29,870 points,John Wells,The Company Men,1956-05-28
402,nm0149446,2012-08-12,2012-08-12,868 points,Gurinder Chadha,Bend It Like Beckham,1960-01-10
403,nm0001501,2017-08-07,2017-08-07,861 points,Louis Malle,Au revoir les enfants,1932-10-30
404,nm0006889,2016-05-27,2016-05-27,857 points,Herbert Ross,"Play It Again, Sam",1927-05-13
405,nm0001214,2012-08-06,2012-08-06,852 points,Mike Figgis,Leaving Las Vegas,1948-02-28
406,nm0193508,2016-02-28,2016-02-28,852 points,Simon Curtis,Goodbye Christopher Robin,1960-03-11
407,nm0442241,2012-08-04,2014-08-09,850 points,Philip Kaufman,The Right Stuff,1936-10-23
408,nm0420941,2012-08-12,2012-08-12,849 points,Patty Jenkins,Wonder Woman,1971-07-24
409,nm0019242,2012-08-19,2012-08-19,849 points,Daniel Alfredson,Flickan som lekte med elden,1959-05-23
410,nm0167241,2012-11-24,2017-11-13,845 points,Henri-Georges Clouzot,Le salaire de la peur,1907-11-20
411,nm0000243,2017-07-05,2017-07-05,842 points,Denzel Washington,Fences,1954-12-28
412,nm0082802,2012-08-18,2012-08-18,841 points,Mike Binder,The Comedy Store,
413,nm0002728,2012-08-19,2012-08-19,835 points,Juan José Campanella,El secreto de sus ojos,1959-07-19
414,nm0863387,2012-12-23,2012-12-23,826 points,George Tillman Jr.,The Hate U Give,1969-01-26
415,nm1140275,2015-01-24,2015-01-24,826 points,Steven Knight,Locke,
416,nm0442454,2015-01-31,2015-05-11,824 points,Aki Kaurismäki,Le Havre,1957-04-04
417,nm0000953,2012-08-04,2012-08-04,819 points,Peter Bogdanovich,The Last Picture Show,1939-07-30
418,nm0586281,2016-05-15,2017-06-15,819 points,Takashi Miike,Jûsan-nin no shikaku,1960-08-24
419,nm0359457,2012-07-26,2012-07-26,819 points,David Hand,Bambi,1900-01-23
420,nm0423646,2012-09-07,2012-09-07,815 points,Roland Joffé,The Mission,1945-11-17
421,nm0335138,2012-08-26,2012-08-26,811 points,Debra Granik,Leave No Trace,1963-02-06
422,nm0916424,2015-11-01,2015-11-01,800 points,Peter Webber,Girl with a Pearl Earring,
423,nm0000736,2012-07-28,2015-12-23,799 points,Robert Aldrich,Emperor of the North Pole,1918-08-09
424,nm0946811,2016-05-10,2016-05-10,796 points,Peter Yates,Krull,1929-07-24
425,nm0429964,2015-04-16,2015-04-16,795 points,Gregor Jordan,Two Hands,
426,nm0792202,2012-10-27,2012-10-27,794 points,Kirsten Sheridan,In America,1976-07-14
427,nm1167933,2015-07-18,2015-07-18,791 points,Damián Szifron,Relatos salvajes,1975-07-09
428,nm1148550,2015-09-28,2015-09-28,782 points,Ava DuVernay,Queen Sugar,1972-08-24
429,nm0201094,2015-03-06,2015-03-06,771 points,Jean-Pierre Dardenne,"Deux jours, une nuit",1951-04-21
430,nm0201095,2015-03-06,2015-03-06,771 points,Luc Dardenne,"Deux jours, une nuit",1954-03-10
431,nm1166926,2012-08-12,2012-08-18,770 points,Vadim Perelman,House of Sand and Fog,
432,nm0001226,2012-08-05,2014-09-20,770 points,James Foley,At Close Range,1953-12-28
433,nm0002339,2012-08-26,2012-08-26,769 points,Allen Coulter,Remember Me,
434,nm0719756,2013-07-14,2016-06-28,765 points,Jean Renoir,La règle du jeu,1894-09-15
435,nm0000209,2015-10-04,2015-10-04,764 points,Tim Robbins,Mystic River,1958-10-16
436,nm0202088,2015-10-09,2016-07-31,762 points,Jules Dassin,Du rififi chez les hommes,1911-12-18
437,nm0330687,2014-01-04,2014-01-04,760 points,Joseph Gordon-Levitt,Inception,1981-02-17
438,nm0174374,2015-05-09,2015-05-09,758 points,Bill Condon,Dreamgirls,1955-10-22
439,nm0696247,2014-11-24,2017-05-08,755 points,Emeric Pressburger,The Red Shoes,1902-12-05
440,nm0452102,2015-03-29,2017-07-17,753 points,Abbas Kiarostami,Ta'm e guilass,1940-06-22
441,nm0000774,2012-09-21,2016-04-14,751 points,Michelangelo Antonioni,L'avventura,1912-09-29
442,nm0690597,2016-12-18,2017-10-30,743 points,Gillo Pontecorvo,La battaglia di Algeri,1919-11-19
443,nm0220600,2013-07-05,2013-07-05,741 points,Scott Derrickson,Doctor Strange,1966-07-16
444,nm0920074,2012-07-26,2017-07-06,740 points,William A. Wellman,A Star Is Born,1896-02-29
445,nm0899581,2016-12-11,2017-12-02,737 points,Luchino Visconti,Il gattopardo,1906-11-02
446,nm0004303,2012-08-18,2012-08-18,737 points,Gavin Hood,Tsotsi,1963-05-12
447,nm0914132,2013-12-07,2013-12-07,737 points,Mark Waters,(500) Days of Summer,1964-06-30
448,nm0000134,2012-08-12,2012-08-12,737 points,Robert De Niro,Raging Bull,1943-08-17
449,nm1560977,2016-02-01,2016-02-01,736 points,Cary Joji Fukunaga,Beasts of No Nation,1977-07-10
450,nm0000110,2012-08-06,2012-10-27,734 points,Kenneth Branagh,Henry V,1960-12-10
451,nm0000455,2012-10-06,2012-10-06,733 points,John Hughes,"Planes, Trains & Automobiles",1950-02-18
452,nm0000382,2012-08-19,2012-08-19,727 points,Atom Egoyan,The Sweet Hereafter,1960-07-19
453,nm0001410,2012-08-04,2012-08-06,719 points,Lawrence Kasdan,The Big Chill,1949-01-14
454,nm0802248,2012-08-12,2012-08-12,719 points,Tarsem Singh,The Fall,1961-05-26
455,nm0304521,2012-08-12,2012-08-12,719 points,Christophe Gans,Le pacte des loups,1960-03-11
456,nm0503777,2017-12-03,2017-12-03,712 points,Mervyn LeRoy,Gypsy,1900-10-15
457,nm0467396,2017-12-02,2017-12-02,706 points,Henry Koster,Harvey,1905-05-01
458,nm0728688,2013-04-28,2017-01-31,704 points,Martin Ritt,Hud,1914-03-02
459,nm0138927,2012-08-11,2012-08-12,703 points,Niki Caro,Whale Rider,1966-09-20
460,nm0466153,2016-05-07,2016-07-15,692 points,Hirokazu Koreeda,Manbiki kazoku,1962-06-06
461,nm0748066,2014-07-26,2014-07-26,692 points,Henry Alex Rubin,Murderball,
462,nm0600409,2015-02-23,2015-02-23,683 points,Daniel Monzón,Celda 211,
463,nm0562266,2012-08-12,2013-07-06,683 points,John Maybury,Love Is the Devil: Study for a Portrait of Francis Bacon,
464,nm0003433,2013-06-22,2016-01-16,681 points,Carl Theodor Dreyer,La passion de Jeanne d'Arc,1889-02-03
465,nm0001508,2012-08-05,2012-08-05,681 points,Penny Marshall,Laverne & Shirley,1943-10-15
466,nm0997291,2017-10-22,2017-10-22,676 points,Justin Kurzel,Snowtown,1974-08-03
467,nm0357453,2012-08-12,2012-08-12,670 points,John Hamburg,Little Fockers,1970-05-26
468,nm0381416,2012-08-19,2012-08-19,669 points,Grant Heslov,Argo,1963-05-15
469,nm0611683,2012-08-04,2012-08-04,661 points,Russell Mulcahy,Highlander,1953-06-23
470,nm0935095,2012-08-12,2012-08-12,660 points,Gary Winick,Tadpole,1961-03-31
471,nm0322242,2015-04-11,2015-04-11,659 points,Jonathan Glazer,Under the Skin,1965-03-26
472,nm0000425,2017-06-03,2017-06-03,653 points,Peter Greenaway,"The Cook, the Thief, His Wife & Her Lover",1942-04-05
473,nm0002080,2012-08-04,2012-08-04,648 points,Bob Fosse,Cabaret,1927-06-23
474,nm0001452,2012-07-27,2012-07-27,645 points,Charles Laughton,Witness for the Prosecution,1899-07-01
475,nm0788940,2012-08-03,2012-08-03,641 points,Jim Sharman,The Rocky Horror Picture Show,1945-03-12
476,nm0405632,2012-10-09,2012-10-09,640 points,Mikael Håfström,Ondskan,1960-07-01
477,nm0149491,2012-12-22,2012-12-22,640 points,Justin Chadwick,Mandela: Long Walk to Freedom,1968-12-01
478,nm1883257,2017-07-08,2017-07-08,639 points,Pablo Larraín,El Club,1976-08-19
479,nm0744035,2012-07-28,2013-12-08,635 points,Robert Rossen,The Hustler,1908-03-16
480,nm0774325,2012-07-26,2012-07-26,635 points,Ernest B. Schoedsack,Dr. Cyclops,1893-06-08
481,nm0542649,2017-10-08,2017-11-27,633 points,Anthony Mann,El Cid,1906-06-30
482,nm0504513,2012-07-28,2012-08-03,625 points,Richard Lester,A Hard Day's Night,1932-01-19
483,nm0001124,2012-07-26,2017-08-30,619 points,Cecil B. DeMille,The Ten Commandments,1881-08-12
484,nm0575523,2015-01-16,2016-04-29,617 points,Julio Medem,Lucía y el sexo,1958-10-21
485,nm0423626,2016-09-21,2016-09-21,614 points,Rowan Joffe,The Informer,
486,nm0939992,2017-11-11,2017-11-11,611 points,Sam Wood,"Goodbye, Mr. Chips",1883-07-10
487,nm0567620,2016-01-06,2016-01-06,611 points,John Michael McDonagh,The Guard,
488,nm0070594,2014-05-01,2014-05-01,606 points,Malik Bendjelloul,Searching for Sugar Man,1977-09-14
489,nm0476201,2014-01-17,2014-01-17,606 points,Karyn Kusama,The Invitation,1968-03-21
490,nm0533241,2016-05-12,2016-11-12,601 points,Alexander Mackendrick,Sweet Smell of Success,1912-09-08
491,nm2277869,2012-08-18,2012-08-18,601 points,Marjane Satrapi,Persepolis,1969-11-22
492,nm1749112,2012-08-18,2012-08-18,601 points,Vincent Paronnaud,Persepolis,
493,nm0000806,2016-05-19,2016-05-19,594 points,Bille August,The House of the Spirits,1948-11-09
494,nm0496746,2012-07-28,2017-07-19,588 points,J. Lee Thompson,The Guns of Navarone,1914-08-01
495,nm0413875,2012-08-05,2012-08-26,587 points,Mick Jackson,Volcano,1943-10-04
496,nm1022455,2013-04-13,2013-04-13,586 points,Benh Zeitlin,Beasts of the Southern Wild,1982-10-14
497,nm0911910,2012-08-10,2012-08-10,586 points,Vincent Ward,The Navigator: A Mediaeval Odyssey,1956-02-16
498,nm0780833,2017-07-14,2017-07-14,581 points,George Seaton,Miracle on 34th Street,1911-04-17
499,nm0002020,2012-07-29,2017-03-13,579 points,Costa-Gavras,Z,1933-02-12
500,nm0867127,2014-08-05,2014-08-05,579 points,Mark Tonderai,Spell,
501,nm0170043,2012-08-12,2014-01-04,575 points,Isabel Coixet,The Secret Life of Words,1960-04-09
502,nm0382956,2013-05-19,2013-05-19,570 points,Scott Hicks,Shine,1953-03-04
503,nm0389591,2012-08-06,2012-08-06,570 points,P.J. Hogan,Muriel's Wedding,1962-11-30
504,nm0623768,2017-05-16,2017-05-16,566 points,Ronald Neame,Golden Salamander,1911-04-23
505,nm0869664,2016-05-17,2017-01-10,564 points,Jacques Tourneur,Out of the Past,1904-11-12
506,nm0178260,2012-07-26,2012-07-26,564 points,Merian C. Cooper,King Kong,1893-10-24
507,nm0587518,2012-08-04,2012-08-04,558 points,John Milius,Conan the Barbarian,1944-04-11
508,nm0438090,2016-01-02,2016-01-02,558 points,Asif Kapadia,Senna,
509,nm0001382,2013-08-10,2014-12-09,557 points,Peter Hyams,2010: The Year We Make Contact,1943-07-26
510,nm0730385,2012-07-28,2012-07-28,557 points,Jerome Robbins,West Side Story,1918-10-11
511,nm0001460,2012-08-11,2012-08-11,555 points,Mimi Leder,The Morning Show,1952-01-26
